,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,{'n_neighbors': 71},0.74,0.76,0.74,0.83,947.00,345.00,"{'0': {'precision': 0.7356143079315708, 'recall': 0.9989440337909187, 'f1-score': 0.8472906403940887, 'support': 947}, '1': {'precision': 0.8333333333333334, 'recall': 0.014492753623188406, 'f1-score': 0.02849002849002849, 'support': 345}, 'micro avg': {'precision': 0.7360681114551083, 'recall': 0.7360681114551083, 'f1-score': 0.7360681114551083, 'support': 1292}, 'macro avg': {'precision': 0.7844738206324521, 'recall': 0.5067183937070535, 'f1-score': 0.4378903344420586, 'support': 1292}, 'weighted avg': {'precision': 0.7617080105349826, 'recall': 0.7360681114551083, 'f1-score': 0.6286480621379735, 'support': 1292}}",6.17
1,clf,svc-rbf,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.73,0.54,0.73,0.00,947.00,345.00,"{'0': {'precision': 0.7329721362229102, 'recall': 1.0, 'f1-score': 0.8459133541759715, 'support': 947}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 345}, 'micro avg': {'precision': 0.7329721362229102, 'recall': 0.7329721362229102, 'f1-score': 0.7329721362229102, 'support': 1292}, 'macro avg': {'precision': 0.3664860681114551, 'recall': 0.5, 'f1-score': 0.42295667708798573, 'support': 1292}, 'weighted avg': {'precision': 0.5372481524791765, 'recall': 0.7329721362229102, 'f1-score': 0.620030918269849, 'support': 1292}}",7.90
2,clf,dtree,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,"{'max_depth': 4, 'min_samples_leaf': 150}",0.73,0.68,0.75,0.49,947.00,345.00,"{'0': {'precision': 0.7475247524752475, 'recall': 0.9567053854276664, 'f1-score': 0.8392774432607689, 'support': 947}, '1': {'precision': 0.4875, 'recall': 0.11304347826086956, 'f1-score': 0.18352941176470589, 'support': 345}, 'micro avg': {'precision': 0.7314241486068112, 'recall': 0.7314241486068112, 'f1-score': 0.7314241486068112, 'support': 1292}, 'macro avg': {'precision': 0.6175123762376238, 'recall': 0.534874431844268, 'f1-score': 0.5114034275127374, 'support': 1292}, 'weighted avg': {'precision': 0.6780908982926156, 'recall': 0.7314241486068112, 'f1-score': 0.6641744472343435, 'support': 1292}}",0.56
3,clf,rforest,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",0.74,0.70,0.74,0.57,947.00,345.00,"{'0': {'precision': 0.7449718423169751, 'recall': 0.9778247096092925, 'f1-score': 0.845662100456621, 'support': 947}, '1': {'precision': 0.5714285714285714, 'recall': 0.08115942028985507, 'f1-score': 0.14213197969543145, 'support': 345}, 'micro avg': {'precision': 0.7383900928792569, 'recall': 0.7383900928792569, 'f1-score': 0.7383900928792569, 'support': 1292}, 'macro avg': {'precision': 0.6582002068727733, 'recall': 0.5294920649495738, 'f1-score': 0.49389704007602625, 'support': 1292}, 'weighted avg': {'precision': 0.6986309534187558, 'recall': 0.7383900928792569, 'f1-score': 0.6577999552069226, 'support': 1292}}",21.00
4,clf,xgb,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,{'n_estimators': 50},0.74,0.71,0.75,0.59,947.00,345.00,"{'0': {'precision': 0.7475728155339806, 'recall': 0.9757127771911299, 'f1-score': 0.8465414567109482, 'support': 947}, '1': {'precision': 0.5892857142857143, 'recall': 0.09565217391304348, 'f1-score': 0.16458852867830426, 'support': 345}, 'micro avg': {'precision': 0.7407120743034056, 'recall': 0.7407120743034056, 'f1-score': 0.7407120743034055, 'support': 1292}, 'macro avg': {'precision': 0.6684292649098474, 'recall': 0.5356824755520867, 'f1-score': 0.5055649926946262, 'support': 1292}, 'weighted avg': {'precision': 0.7053057490241882, 'recall': 0.7407120743034056, 'f1-score': 0.6644410231418598, 'support': 1292}}",0.33
5,clf,gboosting,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,{'n_estimators': 100},0.73,0.68,0.75,0.48,947.00,345.00,"{'0': {'precision': 0.7475165562913907, 'recall': 0.9535374868004224, 'f1-score': 0.8380510440835267, 'support': 947}, '1': {'precision': 0.47619047619047616, 'recall': 0.11594202898550725, 'f1-score': 0.1864801864801865, 'support': 345}, 'micro avg': {'precision': 0.7298761609907121, 'recall': 0.7298761609907121, 'f1-score': 0.7298761609907122, 'support': 1292}, 'macro avg': {'precision': 0.6118535162409334, 'recall': 0.5347397578929648, 'f1-score': 0.5122656152818565, 'support': 1292}, 'weighted avg': {'precision': 0.6750649327350319, 'recall': 0.7298761609907121, 'f1-score': 0.6640634698783004, 'support': 1292}}",0.85
6,clf,ada,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,{'n_estimators': 10},0.74,0.69,0.75,0.52,947.00,345.00,"{'0': {'precision': 0.7546218487394958, 'recall': 0.9482576557550159, 'f1-score': 0.8404305100608329, 'support': 947}, '1': {'precision': 0.5196078431372549, 'recall': 0.1536231884057971, 'f1-score': 0.2371364653243848, 'support': 345}, 'micro avg': {'precision': 0.7360681114551083, 'recall': 0.7360681114551083, 'f1-score': 0.7360681114551083, 'support': 1292}, 'macro avg': {'precision': 0.6371148459383753, 'recall': 0.5509404220804065, 'f1-score': 0.5387834876926089, 'support': 1292}, 'weighted avg': {'precision': 0.6918665608658323, 'recall': 0.7360681114551083, 'f1-score': 0.6793341900654191, 'support': 1292}}",0.78
0,reg,kn,max,basic,ALL_NO_1_1_1,30_120,included,basic,18.58,{'n_neighbors': 31},,,,,,,18.39,5.92
1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,30_120,included,basic,20.20,"{'C': 5, 'gamma': 1}",,,,,,,20.19,7.37
2,reg,dtree,max,basic,ALL_NO_1_1_1,30_120,included,basic,18.31,"{'max_depth': 3, 'min_samples_leaf': 10}",,,,,,,17.95,0.56
