,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_30_after,pips_agg_0_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_90_after,direction_agg_0_90_after
0,2007-01-08 15:00:00,12,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,2,0,1,6,1,4,-1,9,1,4,2,6,0,5,0,9,-1,14,4,-1,1
1,2007-01-09 10:00:00,37,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,1,1,5,0,7,2,5,1,5,2,4,0,6,5,9,0,20,-3,-3,1
2,2007-01-10 08:30:00,68,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0,2007,2,2,1,13,-10,7,-16,10,-12,10,-20,10,-13,6,-12,22,-9,22,-13,-25,0
3,2007-01-10 10:00:00,31,1.0,0,0.0,0,0,0,1,0,1,0,0,1,0,2007,2,2,1,7,6,18,-12,14,-20,7,-21,6,-25,7,-28,37,-26,24,-15,-16,0
4,2007-01-10 10:30:00,18,-3.5,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,2,1,5,4,8,10,5,10,8,9,7,9,6,11,16,8,46,-37,6,1
5,2007-01-11 08:30:00,69,-21.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,2,3,1,11,-9,26,-26,20,-31,14,-42,20,-47,11,-55,62,-50,24,17,-59,0
6,2007-01-11 10:30:00,46,-4.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,3,1,8,0,7,-3,3,-4,7,-7,9,-3,7,-6,11,2,46,-33,13,1
7,2007-01-12 10:00:00,5,0.0,0,0.0,0,1,0,0,0,1,0,0,0,1,2007,2,4,1,17,-4,8,-10,8,-5,15,7,7,7,7,6,24,3,33,21,0,1
8,2007-01-12 14:00:00,25,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,2,4,1,6,0,5,-1,7,-5,4,-4,5,-4,6,0,8,-5,14,-5,1,1
9,2007-01-16 08:30:00,21,-8.9,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,3,1,1,11,15,6,11,5,13,7,8,6,13,7,5,12,7,28,-17,-17,0
10,2007-01-17 09:00:00,66,-14.1,0,0.0,0,0,0,1,0,1,0,1,0,0,2007,3,2,1,12,3,5,2,9,-5,7,-7,13,5,5,8,25,0,31,8,15,2
11,2007-01-17 13:00:00,44,1.0,0,0.0,0,0,1,0,0,1,0,0,1,0,2007,3,2,1,7,-6,7,-1,6,-6,6,-5,5,-6,5,-4,9,-3,14,2,-13,1
12,2007-01-18 12:00:00,53,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,3,3,1,16,9,7,12,3,13,5,13,3,14,4,13,20,14,22,-12,5,1
13,2007-01-19 10:00:00,58,1.0,0,0.0,0,0,1,0,0,1,0,1,0,0,2007,3,4,1,10,-5,10,-8,6,-9,5,-9,7,-11,8,-18,18,-10,23,-15,14,1
14,2007-01-24 10:30:00,18,-0.6,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,4,2,1,6,3,4,5,10,2,4,1,5,1,6,2,14,4,43,-27,4,1
15,2007-01-25 08:30:00,69,1.0,0,-1.0,0,0,0,1,1,0,0,0,1,0,2007,4,3,1,8,9,9,6,7,9,7,5,5,2,5,2,14,-2,16,-2,6,1
16,2007-01-25 10:00:00,23,-0.03,0,0.0,0,0,0,1,1,0,0,1,0,0,2007,4,3,1,8,-2,13,-11,6,-10,5,-5,4,-7,8,0,14,-5,25,9,-7,1
17,2007-01-25 10:30:00,46,-5.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,4,3,1,6,-4,4,-5,7,-2,6,0,7,-4,5,-5,9,-5,24,8,-11,1
18,2007-01-26 10:00:00,47,1.0,0,0.0,0,0,1,0,0,1,0,1,0,0,2007,4,4,1,19,3,6,2,6,-1,4,-1,10,8,7,12,29,13,36,-24,14,1
19,2007-01-30 09:00:00,65,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,1,1,4,0,7,3,7,-1,6,-2,5,-1,5,-2,11,-1,18,-11,-4,1
20,2007-01-30 10:00:00,6,-0.2,0,0.0,0,1,0,0,0,1,0,1,0,0,2007,5,1,1,7,6,5,4,5,10,3,11,7,7,7,4,12,6,16,-9,-1,1
21,2007-01-31 08:15:00,0,1.0,0,0.0,0,0,1,0,0,1,0,0,0,1,2007,5,2,1,6,1,4,4,6,5,11,1,12,-9,6,-15,23,-10,21,7,1,1
