,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_30_after,pips_agg_0_30_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_180_after,direction_agg_0_180_after
0,2007-01-10 08:30:00,31,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,2,2,1,13,-10,7,-16,10,-12,10,-20,10,-13,6,-12,22,-9,22,-8,22,-13,-35,0
1,2007-01-17 08:30:00,23,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,3,2,1,13,-6,6,-4,7,4,7,7,7,2,5,3,24,2,31,10,25,-10,26,2
2,2007-01-17 09:00:00,30,-14.1,0,0.0,0,0,0,1,0,1,0,1,2007,3,2,1,12,3,5,2,9,-5,7,-7,13,5,5,8,25,0,36,15,31,8,25,2
3,2007-01-18 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,3,3,1,19,-20,12,-16,7,-12,6,-15,8,-16,9,-11,26,-9,49,22,23,-4,33,2
4,2007-01-19 10:00:00,28,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,3,4,1,10,-5,10,-8,6,-9,5,-9,7,-11,8,-18,18,-10,31,4,23,-15,31,2
5,2007-01-25 10:00:00,14,-0.03,0,0.0,0,0,0,1,1,0,0,1,2007,4,3,1,8,-2,13,-11,6,-10,5,-5,4,-7,8,0,14,-5,14,-3,25,9,-1,1
6,2007-01-26 08:30:00,8,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,4,4,1,20,-8,12,1,7,-4,7,-7,11,0,16,16,36,8,38,16,23,-3,10,1
7,2007-01-26 10:00:00,21,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,4,4,1,19,3,6,2,6,-1,4,-1,10,8,7,12,29,13,38,21,36,-24,22,2
8,2007-01-30 10:00:00,4,-0.2,0,0.0,0,1,0,0,0,1,0,1,2007,5,1,1,7,6,5,4,5,10,3,11,7,7,7,4,12,6,14,7,16,-9,7,1
9,2007-01-31 08:30:00,1,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,5,2,1,11,-4,12,-14,6,-20,9,-28,5,-29,8,-22,29,-25,29,-11,15,5,50,2
10,2007-01-31 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,5,2,1,33,20,8,16,14,18,6,20,9,20,10,16,33,16,34,23,36,-1,24,2
11,2007-02-01 08:30:00,9,-0.1,0,0.0,0,0,0,1,1,0,0,1,2007,5,3,1,7,6,6,1,6,1,4,-1,8,-6,4,-5,16,-8,16,1,26,13,1,1
12,2007-02-05 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,6,0,1,9,-9,13,2,5,2,5,8,7,5,5,8,18,9,20,11,21,-14,11,1
13,2007-02-13 08:30:00,31,-1.7,0,1.0,0,0,0,1,1,0,0,1,2007,7,1,1,12,2,17,17,9,15,7,9,3,11,7,6,23,5,28,-9,23,13,-12,1
14,2007-02-15 09:00:00,30,-44.4,0,1.0,0,0,0,1,0,1,0,1,2007,7,3,1,18,17,19,32,11,26,10,34,10,34,8,27,35,23,35,12,28,6,-3,1
15,2007-02-16 08:30:00,23,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,7,4,1,13,13,7,16,20,-3,10,-16,10,-13,11,-9,36,-21,39,-16,25,0,6,1
16,2007-02-16 10:00:00,28,-3.2,0,-1.1,0,0,0,1,0,0,1,1,2007,7,4,1,15,-7,7,-2,4,-3,4,-4,3,-4,4,-4,15,-5,17,-7,26,12,11,1
17,2007-02-21 08:30:00,7,1.0,0,-0.1,0,0,1,0,0,0,1,1,2007,8,2,1,26,-13,19,-32,10,-26,4,-29,8,-35,5,-30,33,-26,33,-22,31,12,-17,1
18,2007-02-27 08:30:00,8,-2.9,0,1.0,0,0,0,1,0,1,0,1,2007,9,1,1,13,11,6,10,6,12,11,6,6,4,12,11,15,-1,15,5,32,15,2,1
19,2007-02-28 08:30:00,26,-0.2,0,0.0,0,0,0,1,1,0,0,1,2007,9,2,1,14,-8,15,4,8,0,9,2,11,-5,7,-5,20,-4,22,-10,26,22,0,1
20,2007-02-28 10:00:00,21,-143.0,0,1.0,0,0,0,1,0,1,0,1,2007,9,2,1,6,5,6,3,3,2,6,3,5,2,14,-8,19,-3,30,-11,20,-1,12,1
21,2007-03-01 08:30:00,9,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,9,3,1,8,2,9,4,9,1,6,-4,5,-3,7,0,16,-1,16,-1,19,-1,-54,0
22,2007-03-01 10:00:00,17,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,9,3,1,17,-14,8,-11,8,-18,22,-37,15,-24,10,-30,37,-18,45,-37,40,-10,-32,0
23,2007-03-05 10:00:00,18,-2.9,0,0.0,0,0,0,1,1,0,0,1,2007,10,0,1,14,13,11,7,7,9,7,9,2,12,7,12,14,10,18,2,40,14,-9,1
24,2007-03-06 10:00:00,24,-1.9,0,-0.4,0,0,0,1,0,0,1,1,2007,10,1,1,6,0,10,-4,5,1,4,2,4,2,6,-2,12,-1,17,5,18,10,1,1
25,2007-03-15 08:30:00,23,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,11,3,1,30,13,9,10,8,4,7,4,6,8,5,4,30,11,36,21,30,-6,33,2
