datetime_gmt,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,forecast_error_diff,year,quarter,month,weekday,volatility_60_0_before,pips_agg_60_0_before,volatility_0_30_after,pips_agg_0_30_after,volatility_0_60_after,pips_agg_0_60_after,volatility_0_90_after,pips_agg_0_90_after,volatility_0_120_after,pips_agg_0_120_after,volatility_0_150_after,pips_agg_0_150_after,volatility_0_180_after,pips_agg_0_180_after,volatility_0_210_after,pips_agg_0_210_after,volatility_0_240_after,pips_agg_0_240_after,open_released,high_released,low_released,close_released,high_0_5_after,low_0_5_after,close_0_5_after,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,high_5_10_after,low_5_10_after,close_5_10_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,high_10_15_after,low_10_15_after,close_10_15_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,high_15_20_after,low_15_20_after,close_15_20_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,high_20_25_after,low_20_25_after,close_20_25_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,high_25_30_after,low_25_30_after,close_25_30_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,previous_value,previous_error_diff,total_error_diff,forecast_error_diff_outlier_class,forecast_error_diff_deviation,previous_error_diff_outlier_class,previous_error_diff_deviation,total_error_diff_outlier_class,total_error_diff_deviation
2007-01-08 20:00:00+00:00,12.3B,USD,2007-01-08 15:00:00,5.4B,better,Low,Consumer Credit m/m,-1.3B,accurate,2,6.9,2007,1,1,0,14,4,9,-1,9,-1,15,-1,18,3,21,5,23,8,23,8,32,18,13018,13020,13016,13018,13022,13016,13019,6,1,0,13020,13016,13017,4,-1,-2,13022,13013,13019,9,1,1,13021,13017,13020,4,2,2,13022,13016,13018,6,0,-2,13020,13015,13018,5,0,0,-1.3B,0.0,6.9,0,1.0,0,0.0,0,1.0
2007-02-07 20:00:00+00:00,6.0B,USD,2007-02-07 15:00:00,7.0B,worse,Low,Consumer Credit m/m,13.7B,better,6,-1.0,2007,1,2,2,15,-11,10,0,11,5,16,7,16,7,16,7,17,6,17,9,23,14,13007,13008,13002,13005,13006,13003,13006,3,1,1,13010,13004,13005,6,0,0,13008,13003,13005,5,0,-2,13005,13001,13005,4,0,2,13005,13000,13002,5,-3,-3,13006,13001,13005,5,0,0,12.3B,1.4,0.3999999999999999,0,-1.0,0,1.0,0,1.0
2007-03-07 20:00:00+00:00,6.4B,USD,2007-03-07 15:00:00,7.0B,worse,Low,Consumer Credit m/m,5.0B,worse,10,-0.6,2007,1,3,2,24,21,9,-4,11,-3,15,-8,15,-8,15,-6,15,-7,19,-13,19,-7,13180,13183,13179,13181,13183,13176,13180,7,-1,-2,13181,13175,13181,6,0,3,13182,13178,13180,4,-1,-1,13182,13178,13179,4,-2,0,13180,13174,13177,6,-4,-2,13178,13174,13176,4,-5,-2,6.0B,-1.0,-1.6,0,-0.6,0,-1.0,0,-1.6
2007-04-06 19:00:00+00:00,3.0B,USD,2007-04-06 15:00:00,5.5B,worse,Low,Consumer Credit m/m,6.6B,accurate,14,-2.5,2007,2,4,4,8,4,6,-1,9,-3,9,-4,11,-4,11,2,11,2,11,2,11,2,13377,13378,13376,13376,13377,13375,13376,2,0,0,13376,13372,13374,4,-2,-1,13376,13371,13375,5,-1,3,13376,13372,13375,4,-1,1,13375,13374,13375,1,-1,0,13375,13373,13374,2,-2,-1,6.4B,0.2,-2.3,0,-2.5,0,1.0,0,-2.3
2007-05-07 19:00:00+00:00,13.5B,USD,2007-05-07 15:00:00,4.2B,better,Low,Consumer Credit m/m,5.6B,better,19,9.3,2007,2,5,0,11,-7,9,0,10,3,10,2,10,0,10,-1,10,-4,10,-2,10,2,13601,13603,13600,13600,13604,13600,13603,4,3,3,13603,13599,13599,4,-1,-3,13601,13595,13597,6,-3,-3,13600,13597,13600,3,0,2,13601,13599,13600,2,0,0,13600,13598,13600,2,0,0,3.0B,2.6,11.9,0,1.0,0,1.0,0,1.0
2007-06-07 19:00:00+00:00,2.6B,USD,2007-06-07 15:00:00,6.0B,worse,Low,Consumer Credit m/m,14.0B,better,23,-3.4,2007,2,6,3,11,5,4,1,8,-2,8,-5,9,0,10,-3,12,-8,12,-7,12,-5,13432,13432,13429,13431,13432,13430,13432,2,1,1,13432,13429,13430,3,-1,-1,13430,13428,13429,2,-2,-1,13430,13429,13430,1,-1,1,13432,13430,13432,2,1,1,13432,13429,13429,3,-2,-3,13.5B,0.5,-2.9,1,-0.64,0,0.36,1,-0.47
2007-07-09 19:00:00+00:00,12.9B,USD,2007-07-09 15:00:00,6.4B,better,Low,Consumer Credit m/m,2.3B,worse,28,6.5,2007,3,7,0,5,3,4,-2,5,-2,7,-3,9,2,15,5,16,8,16,1,16,-1,13621,13623,13621,13622,13623,13621,13623,2,1,1,13624,13622,13622,2,0,-1,13623,13621,13621,2,-1,-1,13621,13620,13621,1,-1,0,13623,13621,13621,2,-1,0,13622,13620,13621,2,-1,1,2.6B,-0.3,6.2,1,1.27,1,-0.22,1,1.01
2007-08-07 19:00:00+00:00,13.2B,USD,2007-08-07 15:00:00,5.5B,better,Low,Consumer Credit m/m,15.9B,better,32,7.7,2007,3,8,1,37,13,15,-1,33,-15,33,-14,40,-26,40,-19,40,-17,40,-23,40,-22,13758,13763,13753,13760,13769,13760,13764,9,4,2,13771,13762,13766,9,6,3,13768,13758,13765,10,5,0,13767,13762,13764,5,4,0,13766,13760,13762,6,2,-2,13764,13756,13760,8,0,-1,12.9B,3.0,10.7,1,1.35,2,2.21,1,1.64
2007-09-10 19:00:00+00:00,7.5B,USD,2007-09-10 15:00:00,8.8B,worse,Low,Consumer Credit m/m,11.9B,worse,37,-1.3,2007,3,9,0,13,6,13,-5,16,-9,16,-12,16,-7,17,-11,17,0,17,-2,17,-4,13800,13806,13799,13805,13808,13799,13802,9,-3,-4,13806,13798,13802,8,-3,0,13803,13797,13799,6,-6,-4,13802,13797,13799,5,-6,0,13803,13797,13801,6,-4,1,13802,13795,13798,7,-7,-3,13.2B,-1.3,-2.6,0,-0.22,1,-1.13,1,-0.37
2007-10-05 19:00:00+00:00,12.2B,USD,2007-10-05 15:00:00,10.0B,better,Low,Consumer Credit m/m,9.6B,better,40,2.2,2007,4,10,4,11,2,10,-6,13,-7,15,-7,16,-8,16,-6,16,-6,16,-6,16,-6,14139,14142,14136,14139,14142,14135,14139,7,0,-1,14143,14134,14135,9,-4,-3,14141,14133,14138,8,-1,3,14141,14134,14136,7,-3,-2,14141,14133,14135,8,-4,-4,14139,14133,14135,6,-4,1,7.5B,2.1,4.300000000000001,0,0.39,1,1.45,0,0.61
